model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5Drop_0.2_,0,2019-05-07 23:17,100,0.05,cross_entropy,adam,1,0.5725,0.6931,17696,6452,0.7328,0.6141,0.6682,11122,22366,0.6679,0.7761,0.7179
MLPNet5Drop_0.2_,0,2019-05-07 23:32,100,0.05,cross_entropy,adam,2,0.5363,0.7157,16075,3196,0.8342,0.5578,0.6686,12743,25622,0.6678,0.8891,0.7628
MLPNet5Drop_0.2_,0,2019-05-07 23:47,100,0.05,cross_entropy,adam,3,0.5383,0.7235,16970,3778,0.8179,0.5889,0.6847,11848,25040,0.6788,0.8689,0.7622
MLPNet5Drop_0.2_,0,2019-05-08 00:03,100,0.05,cross_entropy,adam,4,0.5301,0.7271,16803,3360,0.8334,0.5831,0.6861,12015,25458,0.6794,0.8834,0.7681
MLPNet5Drop_0.2_,0,2019-05-08 00:18,100,0.05,cross_entropy,adam,5,0.5477,0.7225,16737,3563,0.8245,0.5808,0.6815,12081,25255,0.6764,0.8764,0.7635
MLPNet5Drop_0.2_,0,2019-05-08 00:33,100,0.05,cross_entropy,adam,6,0.5625,0.7116,15461,2698,0.8514,0.5365,0.6582,13357,26120,0.6617,0.9064,0.7649
MLPNet5Drop_0.2_,0,2019-05-08 00:48,100,0.05,cross_entropy,adam,7,0.5495,0.7183,15860,2768,0.8514,0.5504,0.6685,12958,26050,0.6678,0.9039,0.7681
MLPNet5Drop_0.2_,0,2019-05-08 01:03,100,0.05,cross_entropy,adam,8,0.5443,0.7235,16408,3110,0.8407,0.5694,0.6789,12410,25708,0.6744,0.8921,0.7681
MLPNet5Drop_0.2_,0,2019-05-08 01:18,100,0.05,cross_entropy,adam,9,0.5465,0.7279,17564,4193,0.8073,0.6095,0.6946,11254,24625,0.6863,0.8545,0.7612
MLPNet5Drop_0.2_,0,2019-05-08 01:34,100,0.025,cross_entropy,adam,10,0.5406,0.7313,17003,3338,0.8359,0.59,0.6918,11815,25480,0.6832,0.8842,0.7708
MLPNet5Drop_0.2_,0,2019-05-08 01:49,100,0.025,cross_entropy,adam,11,0.5347,0.7309,17020,3384,0.8342,0.5906,0.6916,11798,25434,0.6831,0.8826,0.7701
MLPNet5Drop_0.2_,0,2019-05-08 02:04,100,0.025,cross_entropy,adam,12,0.5326,0.7321,17064,3359,0.8355,0.5921,0.6931,11754,25459,0.6841,0.8834,0.7711
