model,random_state,date,n_epoch,lr,crit,optim,epoch,loss,f1_macro,pred_0_0,pred_0_1,precision_0,recall_0,f1_0,pred_1_0,pred_1_1,precision_1,recall_1,f1_1
MLPNet5Drop_0.4_,0,2019-05-07 23:18,100,0.05,cross_entropy,adam,1,0.693,0.5075,13918,13469,0.5082,0.483,0.4953,14900,15349,0.5074,0.5326,0.5197
MLPNet5Drop_0.4_,0,2019-05-07 23:33,100,0.05,cross_entropy,adam,2,0.6815,0.4926,8216,7021,0.5392,0.2851,0.373,20602,21797,0.5141,0.7564,0.6121
MLPNet5Drop_0.4_,0,2019-05-07 23:48,100,0.05,cross_entropy,adam,3,0.6763,0.4959,7446,5474,0.5763,0.2584,0.3568,21372,23344,0.5221,0.81,0.6349
MLPNet5Drop_0.4_,0,2019-05-08 00:03,100,0.05,cross_entropy,adam,4,0.676,0.4698,5331,3337,0.615,0.185,0.2844,23487,25481,0.5204,0.8842,0.6552
MLPNet5Drop_0.4_,0,2019-05-08 00:18,100,0.05,cross_entropy,adam,5,0.6747,0.4834,6164,3999,0.6065,0.2139,0.3163,22654,24819,0.5228,0.8612,0.6506
MLPNet5Drop_0.4_,0,2019-05-08 00:33,100,0.05,cross_entropy,adam,6,0.6747,0.4958,7095,4847,0.5941,0.2462,0.3481,21723,23971,0.5246,0.8318,0.6434
MLPNet5Drop_0.4_,0,2019-05-08 00:48,100,0.05,cross_entropy,adam,7,0.6725,0.4836,5916,3482,0.6295,0.2053,0.3096,22902,25336,0.5252,0.8792,0.6576
MLPNet5Drop_0.4_,0,2019-05-08 01:03,100,0.05,cross_entropy,adam,8,0.6746,0.493,6850,4599,0.5983,0.2377,0.3402,21968,24219,0.5244,0.8404,0.6458
MLPNet5Drop_0.4_,0,2019-05-08 01:18,100,0.05,cross_entropy,adam,9,0.6762,0.4842,5961,3529,0.6281,0.2068,0.3112,22857,25289,0.5253,0.8775,0.6572
MLPNet5Drop_0.4_,0,2019-05-08 01:33,100,0.025,cross_entropy,adam,10,0.6711,0.475,5107,2415,0.6789,0.1772,0.2811,23711,26403,0.5269,0.9162,0.669
MLPNet5Drop_0.4_,0,2019-05-08 01:48,100,0.025,cross_entropy,adam,11,0.6694,0.4603,4158,1366,0.7527,0.1443,0.2422,24660,27452,0.5268,0.9526,0.6784
MLPNet5Drop_0.4_,0,2019-05-08 02:03,100,0.025,cross_entropy,adam,12,0.6703,0.4638,4448,1794,0.7126,0.1543,0.2537,24370,27024,0.5258,0.9377,0.6738
MLPNet5Drop_0.4_,0,2019-05-08 02:15,100,0.025,cross_entropy,adam,13,0.6702,0.4691,4992,2636,0.6544,0.1732,0.2739,23826,26182,0.5236,0.9085,0.6643
MLPNet5Drop_0.4_,0,2019-05-08 02:23,100,0.025,cross_entropy,adam,14,0.6681,0.4549,3985,1383,0.7424,0.1383,0.2331,24833,27435,0.5249,0.952,0.6767
MLPNet5Drop_0.4_,0,2019-05-08 02:31,100,0.025,cross_entropy,adam,15,0.6682,0.4575,4156,1598,0.7223,0.1442,0.2404,24662,27220,0.5247,0.9445,0.6746
MLPNet5Drop_0.4_,0,2019-05-08 02:40,100,0.025,cross_entropy,adam,16,0.6693,0.4597,4258,1669,0.7184,0.1478,0.2451,24560,27149,0.525,0.9421,0.6743
MLPNet5Drop_0.4_,0,2019-05-08 02:48,100,0.025,cross_entropy,adam,17,0.6673,0.4358,2956,217,0.9316,0.1026,0.1848,25862,28601,0.5251,0.9925,0.6869
MLPNet5Drop_0.4_,0,2019-05-08 02:56,100,0.025,cross_entropy,adam,18,0.6685,0.4471,3416,532,0.8652,0.1185,0.2085,25402,28286,0.5269,0.9815,0.6857
MLPNet5Drop_0.4_,0,2019-05-08 03:04,100,0.025,cross_entropy,adam,19,0.6672,0.4449,3421,746,0.821,0.1187,0.2074,25397,28072,0.525,0.9741,0.6823
MLPNet5Drop_0.4_,0,2019-05-08 03:12,100,0.0125,cross_entropy,adam,20,0.6665,0.443,3207,304,0.9134,0.1113,0.1984,25611,28514,0.5268,0.9895,0.6876
MLPNet5Drop_0.4_,0,2019-05-08 03:20,100,0.0125,cross_entropy,adam,21,0.6653,0.4421,3158,241,0.9291,0.1096,0.196,25660,28577,0.5269,0.9916,0.6881
MLPNet5Drop_0.4_,0,2019-05-08 03:28,100,0.0125,cross_entropy,adam,22,0.6656,0.4618,4191,1318,0.7608,0.1454,0.2442,24627,27500,0.5276,0.9543,0.6795
MLPNet5Drop_0.4_,0,2019-05-08 03:36,100,0.0125,cross_entropy,adam,23,0.6685,0.432,2842,229,0.9254,0.0986,0.1782,25976,28589,0.5239,0.9921,0.6857
MLPNet5Drop_0.4_,0,2019-05-08 03:44,100,0.0125,cross_entropy,adam,24,0.6654,0.4391,3053,209,0.9359,0.1059,0.1903,25765,28609,0.5262,0.9927,0.6878
MLPNet5Drop_0.4_,0,2019-05-08 03:52,100,0.0125,cross_entropy,adam,25,0.667,0.4479,3540,809,0.814,0.1228,0.2135,25278,28009,0.5256,0.9719,0.6823
MLPNet5Drop_0.4_,0,2019-05-08 04:00,100,0.0125,cross_entropy,adam,26,0.6662,0.4512,3522,466,0.8831,0.1222,0.2147,25296,28352,0.5285,0.9838,0.6876
MLPNet5Drop_0.4_,0,2019-05-08 04:08,100,0.0125,cross_entropy,adam,27,0.6685,0.4492,3490,551,0.8636,0.1211,0.2124,25328,28267,0.5274,0.9809,0.686
MLPNet5Drop_0.4_,0,2019-05-08 04:16,100,0.0125,cross_entropy,adam,28,0.6664,0.4471,3376,420,0.8894,0.1171,0.207,25442,28398,0.5275,0.9854,0.6871
MLPNet5Drop_0.4_,0,2019-05-08 04:24,100,0.0125,cross_entropy,adam,29,0.6667,0.4458,3320,379,0.8975,0.1152,0.2042,25498,28439,0.5273,0.9868,0.6873
MLPNet5Drop_0.4_,0,2019-05-08 04:32,100,0.00625,cross_entropy,adam,30,0.6665,0.4421,3188,330,0.9062,0.1106,0.1972,25630,28488,0.5264,0.9885,0.687
MLPNet5Drop_0.4_,0,2019-05-08 04:40,100,0.00625,cross_entropy,adam,31,0.6675,0.4385,3075,322,0.9052,0.1067,0.1909,25743,28496,0.5254,0.9888,0.6862
MLPNet5Drop_0.4_,0,2019-05-08 04:48,100,0.00625,cross_entropy,adam,32,0.6661,0.4404,3117,272,0.9197,0.1082,0.1936,25701,28546,0.5262,0.9906,0.6873
MLPNet5Drop_0.4_,0,2019-05-08 04:56,100,0.00625,cross_entropy,adam,33,0.665,0.444,3235,296,0.9162,0.1123,0.2,25583,28522,0.5272,0.9897,0.6879
MLPNet5Drop_0.4_,0,2019-05-08 05:04,100,0.00625,cross_entropy,adam,34,0.6643,0.4434,3204,257,0.9257,0.1112,0.1985,25614,28561,0.5272,0.9911,0.6883
MLPNet5Drop_0.4_,0,2019-05-08 05:12,100,0.00625,cross_entropy,adam,35,0.665,0.4411,3129,244,0.9277,0.1086,0.1944,25689,28574,0.5266,0.9915,0.6879
MLPNet5Drop_0.4_,0,2019-05-08 05:20,100,0.00625,cross_entropy,adam,36,0.6647,0.4414,3132,224,0.9333,0.1087,0.1947,25686,28594,0.5268,0.9922,0.6882
MLPNet5Drop_0.4_,0,2019-05-08 05:28,100,0.00625,cross_entropy,adam,37,0.6653,0.4373,3001,215,0.9331,0.1041,0.1874,25817,28603,0.5256,0.9925,0.6873
MLPNet5Drop_0.4_,0,2019-05-08 05:35,100,0.00625,cross_entropy,adam,38,0.6654,0.4373,2997,200,0.9374,0.104,0.1872,25821,28618,0.5257,0.9931,0.6875
MLPNet5Drop_0.4_,0,2019-05-08 05:43,100,0.00625,cross_entropy,adam,39,0.6663,0.4396,3087,261,0.922,0.1071,0.1919,25731,28557,0.526,0.9909,0.6872
MLPNet5Drop_0.4_,0,2019-05-08 05:51,100,0.003125,cross_entropy,adam,40,0.6649,0.4427,3186,270,0.9219,0.1106,0.1974,25632,28548,0.5269,0.9906,0.6879
MLPNet5Drop_0.4_,0,2019-05-08 05:59,100,0.003125,cross_entropy,adam,41,0.6642,0.4433,3196,245,0.9288,0.1109,0.1981,25622,28573,0.5272,0.9915,0.6884
MLPNet5Drop_0.4_,0,2019-05-08 06:07,100,0.003125,cross_entropy,adam,42,0.6655,0.4461,3324,355,0.9035,0.1153,0.2046,25494,28463,0.5275,0.9877,0.6877
MLPNet5Drop_0.4_,0,2019-05-08 06:15,100,0.003125,cross_entropy,adam,43,0.6667,0.4414,3166,328,0.9061,0.1099,0.196,25652,28490,0.5262,0.9886,0.6868
MLPNet5Drop_0.4_,0,2019-05-08 06:23,100,0.003125,cross_entropy,adam,44,0.6634,0.4462,3302,287,0.92,0.1146,0.2038,25516,28531,0.5279,0.99,0.6886
MLPNet5Drop_0.4_,0,2019-05-08 06:31,100,0.003125,cross_entropy,adam,45,0.6653,0.4479,3380,361,0.9035,0.1173,0.2076,25438,28457,0.528,0.9875,0.6881
MLPNet5Drop_0.4_,0,2019-05-08 06:39,100,0.003125,cross_entropy,adam,46,0.6641,0.454,3609,454,0.8883,0.1252,0.2195,25209,28364,0.5294,0.9842,0.6885
MLPNet5Drop_0.4_,0,2019-05-08 06:47,100,0.003125,cross_entropy,adam,47,0.6643,0.4512,3500,399,0.8977,0.1215,0.214,25318,28419,0.5289,0.9862,0.6885
MLPNet5Drop_0.4_,0,2019-05-08 06:54,100,0.003125,cross_entropy,adam,48,0.6657,0.4463,3335,377,0.8984,0.1157,0.205,25483,28441,0.5274,0.9869,0.6875
MLPNet5Drop_0.4_,0,2019-05-08 07:02,100,0.003125,cross_entropy,adam,49,0.6632,0.4528,3541,371,0.9052,0.1229,0.2164,25277,28447,0.5295,0.9871,0.6893
MLPNet5Drop_0.4_,0,2019-05-08 07:10,100,0.0015625,cross_entropy,adam,50,0.6659,0.4516,3531,454,0.8861,0.1225,0.2153,25287,28364,0.5287,0.9842,0.6879
MLPNet5Drop_0.4_,0,2019-05-08 07:18,100,0.0015625,cross_entropy,adam,51,0.6639,0.4523,3526,377,0.9034,0.1224,0.2155,25292,28441,0.5293,0.9869,0.6891
MLPNet5Drop_0.4_,0,2019-05-08 07:26,100,0.0015625,cross_entropy,adam,52,0.6642,0.4505,3467,371,0.9033,0.1203,0.2123,25351,28447,0.5288,0.9871,0.6887
MLPNet5Drop_0.4_,0,2019-05-08 07:34,100,0.0015625,cross_entropy,adam,53,0.6639,0.448,3379,347,0.9069,0.1173,0.2077,25439,28471,0.5281,0.988,0.6883
MLPNet5Drop_0.4_,0,2019-05-08 07:42,100,0.0015625,cross_entropy,adam,54,0.6644,0.4496,3442,382,0.9001,0.1194,0.2109,25376,28436,0.5284,0.9867,0.6883
MLPNet5Drop_0.4_,0,2019-05-08 07:50,100,0.0015625,cross_entropy,adam,55,0.6635,0.4513,3490,363,0.9058,0.1211,0.2136,25328,28455,0.5291,0.9874,0.689
MLPNet5Drop_0.4_,0,2019-05-08 07:58,100,0.0015625,cross_entropy,adam,56,0.6635,0.4533,3573,416,0.8957,0.124,0.2178,25245,28402,0.5294,0.9856,0.6888
MLPNet5Drop_0.4_,0,2019-05-08 08:05,100,0.0015625,cross_entropy,adam,57,0.6642,0.449,3413,351,0.9067,0.1184,0.2095,25405,28467,0.5284,0.9878,0.6885
MLPNet5Drop_0.4_,0,2019-05-08 08:13,100,0.0015625,cross_entropy,adam,58,0.6631,0.453,3546,367,0.9062,0.123,0.2167,25272,28451,0.5296,0.9873,0.6894
MLPNet5Drop_0.4_,0,2019-05-08 08:20,100,0.0015625,cross_entropy,adam,59,0.6641,0.4489,3411,352,0.9065,0.1184,0.2094,25407,28466,0.5284,0.9878,0.6885
MLPNet5Drop_0.4_,0,2019-05-08 08:29,100,0.00078125,cross_entropy,adam,60,0.6645,0.4495,3432,358,0.9055,0.1191,0.2105,25386,28460,0.5285,0.9876,0.6886
MLPNet5Drop_0.4_,0,2019-05-08 08:45,100,0.00078125,cross_entropy,adam,61,0.6638,0.4523,3532,394,0.8996,0.1226,0.2157,25286,28424,0.5292,0.9863,0.6888
MLPNet5Drop_0.4_,0,2019-05-08 09:00,100,0.00078125,cross_entropy,adam,62,0.6639,0.4516,3509,387,0.9007,0.1218,0.2145,25309,28431,0.529,0.9866,0.6888
MLPNet5Drop_0.4_,0,2019-05-08 09:15,100,0.00078125,cross_entropy,adam,63,0.6632,0.4511,3470,328,0.9136,0.1204,0.2128,25348,28490,0.5292,0.9886,0.6894
MLPNet5Drop_0.4_,0,2019-05-08 09:30,100,0.00078125,cross_entropy,adam,64,0.6647,0.448,3376,334,0.91,0.1171,0.2076,25442,28484,0.5282,0.9884,0.6885
MLPNet5Drop_0.4_,0,2019-05-08 09:45,100,0.00078125,cross_entropy,adam,65,0.6636,0.4488,3398,324,0.913,0.1179,0.2089,25420,28494,0.5285,0.9888,0.6888
MLPNet5Drop_0.4_,0,2019-05-08 09:59,100,0.00078125,cross_entropy,adam,66,0.6643,0.4468,3328,310,0.9148,0.1155,0.2051,25490,28508,0.5279,0.9892,0.6885
MLPNet5Drop_0.4_,0,2019-05-08 10:15,100,0.00078125,cross_entropy,adam,67,0.6655,0.4472,3358,359,0.9034,0.1165,0.2064,25460,28459,0.5278,0.9875,0.6879
MLPNet5Drop_0.4_,0,2019-05-08 10:30,100,0.00078125,cross_entropy,adam,68,0.6648,0.4458,3296,308,0.9145,0.1144,0.2033,25522,28510,0.5277,0.9893,0.6882
MLPNet5Drop_0.4_,0,2019-05-08 10:42,100,0.00078125,cross_entropy,adam,69,0.6642,0.4485,3389,328,0.9118,0.1176,0.2083,25429,28490,0.5284,0.9886,0.6887
MLPNet5Drop_0.4_,0,2019-05-08 10:54,100,0.000390625,cross_entropy,adam,70,0.6656,0.4466,3340,358,0.9032,0.1159,0.2054,25478,28460,0.5276,0.9876,0.6878
